"report","min_distance","max_distance","n_observations"
"Banks(a)",0,305,12
"Banks(b)",0,305,12
"Basu",4.31,331.43,12
"Deepthi",10,60,30
"Enriquez",12.51,239.01,10
"Escobedo",3.11,661.38,23
"Geeraert",40,390,18
"Gemmill",25,150,15
"Hansen",370.66,8676,6
"Hass",0,255,16
"Kasina",60,8721,28
"Klein(a)",0,2500,24
"Klein(b)",0,1500,15
"Klein(c)",0,1415,24
"Krishnan",0,500,130
"Landaverde",0,602,37
"Li",0.610094646,100.9897414,155
"LucasGarcia",52.63,1106.6,18
"Motzke",1,2272,75
"Obregon",0,90,10
"Schrader",0,90,18
"SeverianoGaleana",52.22,2000,24
"Sritongchuay",595,9160,20
"Tangtorwongsakul",106,5420,24
"Toledo",108,3169,18
"Vogel(a)",10,250,9
"Vogel(b)",5,200,23
"Wayo",0,9936.99,30
