"study","min_species","max_species","mean_species"
"Banks",0,1,0.75
"Basu",10,21,17.9166666666667
"Deepthi",2,4,3.33333333333333
"Enriquez",5,14,7.9
"Geeraert",2,9.333333333,5.34920634911111
"Gemmill",7,7,7
"Hansen",1,12,5.83333333333333
"Hass",1,7,2.5625
"Kasina",4,9,6.21428571428571
"Klein(a)",3,20,8.91666666666667
"Klein(b)",6,21,11.4
"Klein(c)",4,37,15.2083333333333
"Krishnan",0,7,2.63565891472868
"Landaverde",3,28,13.1081081081081
"Li",1,17,9.41935483870968
"LucasGarcia",1,10,6.22222222222222
"Obregon",0.666666667,7.333333333,4.0666666667
"Schrader",1,7,3.55555555555556
"SeverianoGaleana",1,13,5.29166666666667
"Sitotaw",2,9,6.125
"Sritongchuay",39,164,90.6
"Tangtorwongsakul",2,20,7.70833333333333
"Toledo",0,8,4.33333333333333
"Viswanathan",3,11,6.9
"Vogel(a)",0,9,3
"Vogel(b)",1,6,2.73913043478261
"Wayo",0,4,1.1
