"Authors","Slope","StdError","PValue","AgrIntensity","Sites","Design","Habitat","Pollinator","Method","DistanceMeasure","MaxDistance","TaxonomicResolution"
"Banks et al. 2013",0.0227012540167867,0.223848952387647,0.919222403665593,"high",12,"single distance per site","natural forest","Hymenoptera","passive","estimated",305,"other"
"Basu et al. 2016",0.019258566444947,0.060084258169326,0.748569630183245,"both",12,"single distance per site","other","Bees","passive","reported",331.43,"morphospecies"
"Deepthi et al 2019",0.0265219213852819,0.120651882727931,0.826009893472742,"high",10,"nested design","natural forest","Bees","active","reported",60,"morphospecies"
"Enriquez et al. 2015",-0.0246149311960056,0.128190459074144,0.847727765920933,"low",10,"single distance per site","other","Bees","active","reported",239.01,"morphospecies"
"Escobedo-Kenefic et al. 2022",0.0122456486739092,0.0449824198729354,0.785443731416034,"high",8,"single distance per site","other","Insecta","active","estimated",750,"other"
"Geeraert et al. 2020",-0.204128127327866,0.19754390705064,0.301449298680298,"low",15,"single distance per site","other","Bees","passive","estimated",390,"morphospecies"
"Gemmill-Herren and Ochieng' 2008",0.425570706640326,0.0691880468888742,7.70308025981918e-10,"high",5,"nested design","natural forest","Bees","active","reported",150,"morphospecies"
"Hansen et al. 2020",-0.340552885551804,0.168101201014141,0.0427770683224328,"high",6,"single distance per site","natural forest","Insecta","active","reported",8676,"morphospecies"
"Hass et al. 2018",-0.141511106439679,0.0667068833810473,0.0338892594148304,"high",16,"single distance per site","other","Bees","active","reported",255,"morphospecies"
"Hipolito et al. 2019",-0.0938651455460933,0.147347015842851,0.524102314155792,"both",19,"single distance per site","other","Insecta","active","reported",865,"other"
"Kasina et al. 2009",-0.00393146883925279,0.0590962303783258,0.946958613756376,"low",28,"single distance per site","natural forest","Bees","active","reported",8721,"other"
"Klein et al. 2003 a)",-0.101183925011976,0.0227307893025187,8.53106946373208e-06,"low",24,"single distance per site","natural forest","Bees","active","reported",2500,"morphospecies"
"Klein et al. 2003 b)",-0.0523941315017752,0.0268269075532202,0.0508143787513544,"low",15,"single distance per site","natural forest","Bees","active","reported",1500,"morphospecies"
"Klein 2009",-0.135919849883279,0.0325954064213275,3.04722466741506e-05,"low",24,"single distance per site","natural forest","Bees","active","reported",1415,"morphospecies"
"Krishnan et al. 2012",-0.0173340388404133,0.0261399595880973,0.507251036057636,NA,35,"nested design","natural forest","Bees","active","reported",500,"morphospecies"
"Landaverde-Gonzales et al. 2017",-0.041885644829888,0.0554006458211628,0.449619363755582,"high",37,"single distance per site","other","Bees","mixed","estimated",602,"morphospecies"
"Li et al. 2022",0.0420413220877628,0.0387235475149727,0.277621266204793,"high",47,"single distance per site","natural forest","Arthropods","passive","reported",100.9897,"other"
"Lucas-Garcia and Rosas-Guerrero, unpub",-0.13785977565451,0.109091400569793,0.20633452344134,"high",18,"single distance per site","natural forest","Insecta","active","reported",1106.6,"other"
"Obregon et al. 2021",-0.0207035045296389,0.0873751495058878,0.812695909707392,"high",10,"single distance per site","natural forest","Bees","active","estimated",90,"morphospecies"
"Riojas-Lopez et al. 2019",-0.0438333897154366,0.098187893718206,0.655291312645309,"low",8,"single distance per site","other","Bees","passive","reported",870,"morphospecies"
"Schrader et al. 2018",-0.125289804291172,0.0685420144213945,0.0675604962194556,"low",10,"paired sites","other","Bees","active","estimated",90,"morphospecies"
"Severiano-Galeana et al. 2024",-0.201562408353326,0.118360205170674,0.0885760075245264,"high",24,"single distance per site","natural forest","Insecta","active","reported",2000,"morphospecies"
"Sitotaw et al. 2022",-0.227748281921718,0.0435490487783076,1.6978909650098e-07,"low",72,"nested design","natural forest","Insecta","active","reported",1500,"other"
"Sritongchuay et al. 2019",0.262441999970826,0.0396894256701429,3.78161625875298e-11,"low",20,"paired sites","natural forest","Insecta","active","estimated",9160,"morphospecies"
"Tangtorwongsakul et al. 2017",0.0789066656457119,0.124178152284049,0.525147259862195,"high",24,"single distance per site","other","Insecta","mixed","estimated",5420,"morphospecies"
"Toledo-Hernandez et al. 2021",0.172935773834142,0.0943154075526438,0.0667149002701974,"low",18,"single distance per site","other","Diptera","passive","reported",3169,"other"
"Viswanathan et al. 2020",-0.312335243256364,0.144530367762202,0.030692603841068,"both",7,"single distance per site","natural forest","Insecta","active","reported",2200,"morphospecies"
"Vogel et al. 2021",0.152438200582343,0.300335084663789,0.611761656539277,"low",9,"single distance per site","other","Bees","active","estimated",250,"morphospecies"
"Vogel et al. 2023",-0.0211786020628177,0.141527897738058,0.881046599576985,"low",24,"single distance per site","other","Insecta","active","estimated",200,"morphospecies"
"Wayo et al. 2020",-0.282658993642204,0.0756704898654819,0.000187422500346573,"low",30,"single distance per site","natural forest","Stingless Bees","active","reported",9936.99,"morphospecies"
