study,report,authors,crop,p_dependency,farm_size,habitat,agr_intensity,distance_m,distance_measure,abundance_all,abundance_wild,sites,location,pollinator,sampling_effort,sampling_method,sampling_time_min,total_sampling_time_min,source
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,230,estimated,4,3,12,g39 isolated,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,48,estimated,10,10,12,g15 adjacent,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,174,estimated,10,10,12,g29 isolated,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,230,estimated,10,10,12,g4 isolated,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,305,estimated,17,12,12,g23 isolated,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,13,estimated,20,14,12,m18 adjacent,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,73,estimated,21,20,12,g11 adjacent,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,55,estimated,31,28,12,g3 adjacent,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,55,estimated,31,23,12,m17 adjacent,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,115,estimated,31,29,12,g8 isolated,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,207,estimated,32,28,12,g13 isolated,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(a),Banks et al. 2013,coffee,Modest (10-40%),Medium (2-15 ha),forest,high,0,estimated,33,32,12,g9 adjacent,Hymenoptera,6,active,20,120,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,0,estimated,38.33333333,33,12,g9 adjacent,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,13,estimated,46.66666667,26,12,m18 adjacent,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,48,estimated,39.66666667,24.66666667,12,g15 adjacent,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,55,estimated,18.33333333,15.33333333,12,g3 adjacent,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,55,estimated,72,34,12,m17 adjacent,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,73,estimated,37.66666667,28.33333333,12,g11 adjacent,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,115,estimated,49.58333333,29.91666667,12,g8 isolated,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,174,estimated,10.66666667,8.666666666,12,g29 isolated,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,207,estimated,30.66666667,22.66666667,12,g13 isolated,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,230,estimated,30.33333334,27.66666667,12,g39 isolated,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,230,estimated,49,17,12,g4 isolated,Hymenoptera,15,active,20,300,corresponding author(s)
Banks,Banks(b),Banks et al. 2014,coffee,Modest (10-40%),0.15 - 5.7,forest,high,305,estimated,32,24.66666667,12,g23 isolated,Hymenoptera,15,active,20,300,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,6.152435831,forest,both,18.6,reported,53,50,12,ONGC,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,6.419933041,forest,both,34.93,reported,74,63,12,Amitadebbarma,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,3.47746373,forest,both,331.43,reported,107,106,12,Emanuel Para,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,NA,forest,both,8.26,reported,137,136,12,Champaknagar,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,6.954927461,forest,both,129.92,reported,148,138,12,Trinu Baidya Jhum,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,6.954927461,forest,both,7.75,reported,165,164,12,Brahmachara,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,9.362402351,forest,both,23.08,reported,194,191,12,Totabari,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,5.884938621,forest,both,27.67,reported,225,225,12,Palpara,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,13.3748605,forest,both,27.74,reported,265,259,12,Ghilatali,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,7.222424671,forest,both,4.31,reported,307,300,12,Krishnapur,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,5.082446991,forest,both,14.54,reported,309,309,12,Kamalnagar,Bees,189,passive,1440,272160,corresponding author(s)
Basu,Basu,Basu et al. 2016,vegetable crops,NA,2.40747489,forest,both,69.41,reported,442,441,12,Ghaniamara,Bees,189,passive,1440,272160,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),12,riparian forest ,high,10,reported,60,60,10,C01,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),12,riparian forest ,high,60,reported,60,60,10,C01,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),12,riparian forest ,high,10,reported,82,82,10,C02,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),12,riparian forest ,high,30,reported,94,94,10,C02,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),12,riparian forest ,high,60,reported,87,87,10,C02,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,10,reported,109,109,10,C03,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,30,reported,119,119,10,C03,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,60,reported,74,74,10,C03,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),3,riparian forest ,high,30,reported,79,79,10,C04,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),10,riparian forest ,high,10,reported,60,60,10,C05,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),10,riparian forest ,high,30,reported,66,66,10,C05,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),10,riparian forest ,high,60,reported,60,60,10,C05,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,10,reported,69,69,10,C06,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,30,reported,99,99,10,C06,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,60,reported,86,86,10,C06,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,10,reported,66,66,10,C07,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,30,reported,82,82,10,C07,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),4,riparian forest ,high,60,reported,83,83,10,C07,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),8,riparian forest ,high,30,reported,60,60,10,C08,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),8,riparian forest ,high,60,reported,60,60,10,C08,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),10,riparian forest ,high,10,reported,78,78,10,C09,Bees,5,active,15,300,corresponding author(s)
Deepthi,Deepthi,Deepthi et al 2019,coffea canephora,Great (40-90%),10,riparian forest ,high,60,reported,110,110,10,C09,Bees,5,active,15,300,corresponding author(s)
