study,authors,crop,p_dependency,farm_size,habitat_description,habitat,agr_intensity,distance,distance_measure,treatment,fruitset,sampling_effort,sites,location,source
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,96.91,reported,open,0.0539,100,10,PU1,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,88.48,reported,open,0.0539,100,10,PU2,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,28.46,reported,open,0.1317,100,10,RE1,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,21.51,reported,open,0,100,10,PA2,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,12.51,reported,open,0.018,100,10,CH1,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,124.62,reported,open,0.1317,100,10,CH2,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,60.38,reported,open,0.1796,100,10,RE2,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,151.37,reported,open,0.2096,100,10,RE3,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,111.03,reported,open,0.1377,100,10,UB1,corresponding author(s)
Enriquez,Enriquez et al. 2015,squash,Essential (90-100%),Small (<1ha),"secondary vegetation, incl. large forest fragments (>300ha)",other,low,239.01,reported,open,0.0838,100,10,UB2,corresponding author(s)
Escobedo,Escobedo-Kenefic et al. 2024,"Brassica rapa (rape, rape seed)",Modest (10-40%),Small <2ha,"forest (humid montane and low-montane tropical forests dominated by pine, forest reserves)",natural forest,both,321.25,reported,NA,0.754,1,22,BA,corresponding author(s)
